id,neighborhood_id,container_type,capacity_liters,latitude,longitude,current_fill_level,last_collection_date,neighborhood_name,population,days_since_collection,day_of_week,month,is_weekend,collection_days_per_week,type_encoded,capacity_category,population_density,expected_fill_level,collection_priority
1,1,770lt,770,40.19105078304846,28.86410732139478,0.8,,19 MAYIS MAHALLESİ,4371,,,,0,3.0,3,large,4.371,,
2,1,400lt,400,40.19504457010441,28.879141297317492,0.7338236355779474,2025-12-20,19 MAYIS MAHALLESİ,4371,8.0,5.0,12.0,1,3.0,2,medium,4.371,0.95,0.7419075687155653
3,1,770lt,770,40.18044015294317,28.855629470312465,0.18638751822223587,2025-12-26,19 MAYIS MAHALLESİ,4371,2.0,4.0,12.0,0,3.0,3,large,4.371,0.3463875182222359,0.2601013278266832
4,1,400lt,400,40.20599203212676,28.91802320486392,0.27077154306956874,2025-12-25,19 MAYIS MAHALLESİ,4371,3.0,3.0,12.0,0,3.0,2,medium,4.371,0.5107715430695687,0.3722933402503496
5,1,underground,5000,40.20132705096,28.903738317030335,0.772491947285162,2025-12-18,19 MAYIS MAHALLESİ,4371,10.0,3.0,12.0,0,3.0,4,xlarge,4.371,0.95,0.8019075687155652
6,1,plastic,240,40.18890777638743,28.897925241876386,0.27691841884591284,2025-12-25,19 MAYIS MAHALLESİ,4371,3.0,3.0,12.0,0,3.0,1,small,4.371,0.5169184188459128,0.37536677813852165
7,1,plastic,240,40.20285136959587,28.94076941952065,0.47854534662513204,2025-12-23,19 MAYIS MAHALLESİ,4371,5.0,1.0,12.0,0,3.0,1,small,4.371,0.8785453466251321,0.6161802420281314
8,1,400lt,400,40.176420090337025,28.90135978894944,0.32975228554518354,2025-12-25,19 MAYIS MAHALLESİ,4371,3.0,3.0,12.0,0,3.0,2,medium,4.371,0.5697522855451835,0.401783711488157
9,1,underground,5000,40.22855279233444,28.869445284265474,0.4283746620859379,2025-12-24,19 MAYIS MAHALLESİ,4371,4.0,2.0,12.0,0,3.0,4,xlarge,4.371,0.748374662085938,0.5210948997585343
10,1,underground,5000,40.2181739252172,28.926032704390074,0.8989009663267797,2025-12-18,19 MAYIS MAHALLESİ,4371,10.0,3.0,12.0,0,3.0,4,xlarge,4.371,0.95,0.8019075687155652
11,1,400lt,400,40.23472273434669,28.91885634118331,0.7058181859490283,2025-12-19,19 MAYIS MAHALLESİ,4371,9.0,4.0,12.0,0,3.0,2,medium,4.371,0.95,0.7719075687155653
12,1,770lt,770,40.21883909153837,28.879463978447944,0.95,2025-12-17,19 MAYIS MAHALLESİ,4371,11.0,2.0,12.0,0,3.0,3,large,4.371,0.95,0.8319075687155653
13,1,400lt,400,40.22916289612574,28.919395761512632,0.8957558208828238,2025-12-18,19 MAYIS MAHALLESİ,4371,10.0,3.0,12.0,0,3.0,2,medium,4.371,0.95,0.8019075687155652
14,1,770lt,770,40.154911802992984,28.942309610080255,0.8577174661800772,2025-12-18,19 MAYIS MAHALLESİ,4371,10.0,3.0,12.0,0,3.0,3,large,4.371,0.95,0.8019075687155652
15,1,400lt,400,40.15428049318004,28.924522944839104,0.3768800957215478,2025-12-23,19 MAYIS MAHALLESİ,4371,5.0,1.0,12.0,0,3.0,2,medium,4.371,0.7768800957215478,0.5653476165763393
16,1,400lt,400,40.19306365189839,28.873577190523402,0.4373121539247444,2025-12-22,19 MAYIS MAHALLESİ,4371,6.0,0.0,12.0,0,3.0,2,medium,4.371,0.9173121539247444,0.6655636456779375
17,1,770lt,770,40.170841755535875,28.944729828175646,0.7501133820991258,2025-12-19,19 MAYIS MAHALLESİ,4371,9.0,4.0,12.0,0,3.0,3,large,4.371,0.95,0.7719075687155653
18,1,underground,5000,40.16498615673068,28.888342135010266,0.6611589716436361,2025-12-20,19 MAYIS MAHALLESİ,4371,8.0,5.0,12.0,1,3.0,4,xlarge,4.371,0.95,0.7419075687155653
19,1,plastic,240,40.21473835980189,28.852748285723543,0.8271306336491256,2025-12-19,19 MAYIS MAHALLESİ,4371,9.0,4.0,12.0,0,3.0,1,small,4.371,0.95,0.7719075687155653
20,1,underground,5000,40.241995352475875,28.875986844703064,0.4862033120663325,2025-12-23,19 MAYIS MAHALLESİ,4371,5.0,1.0,12.0,0,3.0,4,xlarge,4.371,0.8862033120663325,0.6200092247487315
21,1,underground,5000,40.23957605256553,28.8903660137252,0.8125729361479826,2025-12-17,19 MAYIS MAHALLESİ,4371,11.0,2.0,12.0,0,3.0,4,xlarge,4.371,0.95,0.8319075687155653
22,1,underground,5000,40.23766467934348,28.896669491900063,0.5908096872359961,2025-12-21,19 MAYIS MAHALLESİ,4371,7.0,6.0,12.0,1,3.0,4,xlarge,4.371,0.95,0.7119075687155653
23,1,plastic,240,40.20499863530691,28.88906898807408,0.30526532793839084,2025-12-24,19 MAYIS MAHALLESİ,4371,4.0,2.0,12.0,0,3.0,1,small,4.371,0.6252653279383908,0.4595402326847607
24,1,400lt,400,40.1659726108234,28.866746194902866,0.46260221998312034,2025-12-23,19 MAYIS MAHALLESİ,4371,5.0,1.0,12.0,0,3.0,2,medium,4.371,0.8626022199831204,0.6082086787071255
25,1,400lt,400,40.1866985390767,28.86196717933965,0.6926073096385514,2025-12-20,19 MAYIS MAHALLESİ,4371,8.0,5.0,12.0,1,3.0,2,medium,4.371,0.95,0.7419075687155653
26,1,plastic,240,40.21932767636284,28.867825641837396,0.5767879532344594,2025-12-20,19 MAYIS MAHALLESİ,4371,8.0,5.0,12.0,1,3.0,1,small,4.371,0.95,0.7419075687155653
27,1,plastic,240,40.17993806994263,28.8734447019479,0.6615372298306615,2025-12-19,19 MAYIS MAHALLESİ,4371,9.0,4.0,12.0,0,3.0,1,small,4.371,0.95,0.7719075687155653
28,1,400lt,400,40.18323121043552,28.94249896402153,0.7432330503058014,2025-12-20,19 MAYIS MAHALLESİ,4371,8.0,5.0,12.0,1,3.0,2,medium,4.371,0.95,0.7419075687155653
29,1,underground,5000,40.244028362304775,28.87669764319583,0.7782452361543789,2025-12-19,19 MAYIS MAHALLESİ,4371,9.0,4.0,12.0,0,3.0,4,xlarge,4.371,0.95,0.7719075687155653
30,1,400lt,400,40.15279501439472,28.861283851948514,0.5866901544513959,2025-12-20,19 MAYIS MAHALLESİ,4371,8.0,5.0,12.0,1,3.0,2,medium,4.371,0.95,0.7419075687155653
31,1,400lt,400,40.23537202872074,28.906751788292354,0.6041526242016088,2025-12-21,19 MAYIS MAHALLESİ,4371,7.0,6.0,12.0,1,3.0,2,medium,4.371,0.95,0.7119075687155653
32,1,400lt,400,40.182222420985674,28.927927412255205,0.6294571324772728,2025-12-21,19 MAYIS MAHALLESİ,4371,7.0,6.0,12.0,1,3.0,2,medium,4.371,0.95,0.7119075687155653
33,1,770lt,770,40.16097078015268,28.943125161285273,0.2726044180407651,2025-12-25,19 MAYIS MAHALLESİ,4371,3.0,3.0,12.0,0,3.0,3,large,4.371,0.5126044180407651,0.3732097777359478
34,1,underground,5000,40.22080234823608,28.913364086508683,0.7767395954089775,2025-12-18,19 MAYIS MAHALLESİ,4371,10.0,3.0,12.0,0,3.0,4,xlarge,4.371,0.95,0.8019075687155652
35,1,underground,5000,40.18009899591558,28.85832622126415,0.4521643092786036,2025-12-23,19 MAYIS MAHALLESİ,4371,5.0,1.0,12.0,0,3.0,4,xlarge,4.371,0.8521643092786036,0.6029897233548671
36,1,underground,5000,40.16561095874043,28.935081813212015,0.6315820960799287,2025-12-20,19 MAYIS MAHALLESİ,4371,8.0,5.0,12.0,1,3.0,4,xlarge,4.371,0.95,0.7419075687155653
37,2,770lt,770,40.15726438674674,28.92188827887912,0.7653466880175408,2025-12-19,23 NİSAN MAHALLESİ,21042,9.0,4.0,12.0,0,3.0,3,large,21.042,0.95,0.8745330727323094
38,2,underground,5000,40.22938802473368,28.914478235498294,0.24610262201399485,2025-12-26,23 NİSAN MAHALLESİ,21042,2.0,4.0,12.0,0,3.0,4,xlarge,21.042,0.40610262201399483,0.3925843837393068
39,2,underground,5000,40.184483430846285,28.932119286791856,0.8024346413696737,2025-12-19,23 NİSAN MAHALLESİ,21042,9.0,4.0,12.0,0,3.0,4,xlarge,21.042,0.95,0.8745330727323094
40,2,400lt,400,40.2463715174559,28.89863041814528,0.6888152993233372,2025-12-20,23 NİSAN MAHALLESİ,21042,8.0,5.0,12.0,1,3.0,2,medium,21.042,0.95,0.8445330727323094
41,2,underground,5000,40.19327615330688,28.88049360355903,0.41050540942658353,2025-12-24,23 NİSAN MAHALLESİ,21042,4.0,2.0,12.0,0,3.0,4,xlarge,21.042,0.7305054094265835,0.6147857774456011
42,2,770lt,770,40.225873387213824,28.89746097880165,0.5878481418164753,2025-12-21,23 NİSAN MAHALLESİ,21042,7.0,6.0,12.0,1,3.0,3,large,21.042,0.95,0.8145330727323093
43,2,770lt,770,40.24737918620058,28.851904946992157,0.16479649231207344,2025-12-25,23 NİSAN MAHALLESİ,21042,3.0,3.0,12.0,0,3.0,3,large,21.042,0.40479649231207343,0.4219313188883461
44,2,770lt,770,40.215819509997154,28.92959326620548,0.17175607217387953,2025-12-25,23 NİSAN MAHALLESİ,21042,3.0,3.0,12.0,0,3.0,3,large,21.042,0.41175607217387955,0.42541110881924915
45,2,400lt,400,40.21399545633642,28.887335886109835,0.387776519200005,2025-12-24,23 NİSAN MAHALLESİ,21042,4.0,2.0,12.0,0,3.0,2,medium,21.042,0.707776519200005,0.6034213323323119
46,2,400lt,400,40.2119711864142,28.871974810136265,0.3000816539775655,2025-12-25,23 NİSAN MAHALLESİ,21042,3.0,3.0,12.0,0,3.0,2,medium,21.042,0.5400816539775655,0.4895738997210921
47,2,770lt,770,40.22821815188211,28.922921136893958,0.23047605027150841,2025-12-25,23 NİSAN MAHALLESİ,21042,3.0,3.0,12.0,0,3.0,3,large,21.042,0.4704760502715084,0.4547710978680636
48,2,400lt,400,40.18206224030433,28.938866004281202,0.1578161305723852,2025-12-26,23 NİSAN MAHALLESİ,21042,2.0,4.0,12.0,0,3.0,2,medium,21.042,0.3178161305723852,0.3484411380185021
49,2,underground,5000,40.17269442301234,28.948903267124145,0.7577097456156332,2025-12-19,23 NİSAN MAHALLESİ,21042,9.0,4.0,12.0,0,3.0,4,xlarge,21.042,0.95,0.8745330727323094
